Names,A1,A2,A3,A4,A5,A6,Sample,Group
F_CentralAsia_750114-25D.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.05996628,0.335995953,0.604037764,750114-25D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750119-30D.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.05776125,0.376770904,0.565467842,750119-30D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750125-33D.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.033068056,0.057646514,0.909285427,750125-33D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750117-28D.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.066235545,0.260068748,0.673695703,750117-28D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750282-35D.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.02936642,0.334319523,0.636314054,750282-35D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_750016-17D.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,0.000195919,0.288279522,0.711524556,750016-17D.CanFam31.realigned.bam,CentralAsia
F_CentralAsia_China_SRR20326486.merge.CanFam31.bam,1.00E-09,1.00E-09,0.002491082,0.061581509,0.617229026,0.31869838,China_SRR20326486.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326485.merge.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,0.07797196,0.676054741,0.245973296,China_SRR20326485.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326484.merge.CanFam31.bam,1.00E-09,1.00E-09,0.033587733,0.04813604,0.636484203,0.281792022,China_SRR20326484.merge.CanFam31.bam,CentralAsia
F_CentralAsia_China_SRR20326483.merge.CanFam31.bam,0.003766743,0.011148698,1.00E-09,0.061185755,0.600078298,0.323820505,China_SRR20326483.merge.CanFam31.bam,CentralAsia
F_CentralAsia_MW486.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.004640995,0.027406308,0.111974764,0.855977931,MW486.CanFam31.realigned.bam,CentralAsia
G_EastAsia_China_SRR20326491.merge.CanFam31.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,China_SRR20326491.merge.CanFam31.bam,EastAsia
G_EastAsia_China_SRR20326479.CanFam31.bam,1.00E-09,0.063874188,0.5055056,1.00E-09,0.43062021,1.00E-09,China_SRR20326479.CanFam31.bam,EastAsia
G_EastAsia_MW574.CanFam31.realigned.bam,1.00E-09,0.028727071,0.029010661,1.00E-09,0.880085767,0.062176499,MW574.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW4.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,Wang_GW4.CanFam31.realigned.bam,EastAsia
G_EastAsia_InnerMongoliaWolf.CanFam31.realigned.bam,1.00E-09,0.000285905,6.19E-08,1.00E-09,0.99971403,1.00E-09,InnerMongoliaWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW588.CanFam31.realigned.bam,1.00E-09,0.018340623,1.00E-09,1.00E-09,0.847088947,0.134570426,MW588.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW561.CanFam31.realigned.bam,0.000000001,0.005200939,0.011628424,0.045329114,0.736499071,0.201342451,MW561.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW524.CanFam31.realigned.bam,1.00E-09,0.019648619,1.00E-09,1.00E-09,0.895762339,0.084589039,MW524.CanFam31.realigned.bam,EastAsia
G_EastAsia_MW538.CanFam31.realigned.bam,1.00E-09,0.010737192,1.00E-09,1.00E-09,0.847380703,0.141882102,MW538.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN7.CanFam31.realigned.bam,1.00E-09,1.00E-09,0.00452012,1.00E-09,0.995479876,1.00E-09,Chinese_CAN7.CanFam31.realigned.bam,EastAsia
G_EastAsia_Chinese_CAN6.CanFam31.realigned.bam,1.00E-09,1.00E-09,1.00E-09,1.00E-09,0.999999995,1.00E-09,Chinese_CAN6.CanFam31.realigned.bam,EastAsia
G_EastAsia_Wang_GW2.CanFam31.realigned.bam,1.00E-09,0.006864552,1.00E-09,1.00E-09,0.893385717,0.099749729,Wang_GW2.CanFam31.realigned.bam,EastAsia
G_EastAsia_LiaoNingWolf.CanFam31.realigned.bam,1.00E-09,0.013761037,0.040570423,1.00E-09,0.945668537,1.00E-09,LiaoNingWolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi2Wolf.CanFam31.realigned.bam,1.00E-09,0.016689055,1.25E-07,1.00E-09,0.983310817,1.00E-09,Shanxi2Wolf.CanFam31.realigned.bam,EastAsia
G_EastAsia_Shanxi1Wolf.CanFam31.realigned.bam,1.00E-09,2.71E-05,1.00E-09,1.00E-09,0.999972927,1.00E-09,Shanxi1Wolf.CanFam31.realigned.bam,EastAsia
I_NorthAmerica_Ellesmere1.CanFam31.realigned.bam,0.066927891,0.047644999,1.00E-09,1.00E-09,0.662827379,0.222599729,Ellesmere1.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_AlaskanWolf.CanFam31.realigned.bam,0.054432733,0.072512461,1.00E-09,1.00E-09,0.686757958,0.186296846,AlaskanWolf.CanFam31.realigned.bam,NorthAmerica
I_NorthAmerica_MexicanWolf.CanFam31.realigned.bam,0.117087222,0.106767727,1.00E-09,1.00E-09,0.608492356,0.167652694,MexicanWolf.CanFam31.realigned.bam,NorthAmerica
A_A_Dhole_BerlinZoo.CanFam31.realigned.bam,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,BerlinZoo.CanFam31.realigned.bam,Dhole
A_B_Ethiopianwolf_Ethiopian_wolf_B3.CanFam31.realigned.bam,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Ethiopian_wolf_B3.CanFam31.realigned.bam,Ethiopianwolf
A_C_GoldenJackal_Syrian_jackal.CanFam31.realigned.bam,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Syrian_jackal.CanFam31.realigned.bam,GoldenJackal
A_D_Africanwolf_KenyaJackal.CanFam31.realigned.bam,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,KenyaJackal.CanFam31.realigned.bam,Africanwolf
A_D_Africanwolf_ERR4372262_Morocco_Africanwolf.CanFam31.bam,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,ERR4372262_Morocco_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_CRR010907_Algeria_Africanwolf.CanFam31.bam,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,CRR010907_Algeria_Africanwolf.CanFam31.bam,Africanwolf
A_D_Africanwolf_Africanwolf_SRR8049196.CanFam31.bam,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Africanwolf_SRR8049196.CanFam31.bam,Africanwolf
A_E_Coyote_CaliforniaCoyote.CanFam31.realigned.bam,0.839024238,1.00E-09,1.00E-09,1.00E-09,0.160975758,1.00E-09,CaliforniaCoyote.CanFam31.realigned.bam,Coyote
A_E_Coyote_SRR1518489_Coyote_Illinois.CanFam31.bam,0.724662475,0.139093398,1.00E-09,1.00E-09,0.136244124,1.00E-09,SRR1518489_Coyote_Illinois.CanFam31.bam,Coyote
Z_Dog_Beagle_SRR7107976.CanFam31.bam,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Beagle_SRR7107976.CanFam31.bam,Dog
Z_Dog_Dauchound_SRR7107971.CanFam31.bam,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,Dauchound_SRR7107971.CanFam31.bam,Dog
Z_Dog_SRR7107875_Airdale.CanFam31.bam,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,SRR7107875_Airdale.CanFam31.bam,Dog
Z_Dog_MW207.CanFam31.realigned.bam,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,MW207.CanFam31.realigned.bam,Dog
Z_Dog_SharPei02.CanFam31.realigned.bam,1.00E-09,0.999999995,1.00E-09,1.00E-09,1.00E-09,1.00E-09,SharPei02.CanFam31.realigned.bam,Dog
