,RG,Sample,Chromosome,Start,End,Length.bp.,NumberofMarkers,Quality,Cummulative,Bold
7604,RG,IndianwolfBH123_25X,chr9,45451584,45552944,101361,417,87.7,3223699,yes
1248,RG,IndianwolfBH123_25X,chr16,44711137,44812514,101378,849,92.6,3325077,yes
1129,RG,IndianwolfBH123_25X,chr16,10664247,10765669,101423,489,92.6,3426500,yes
6036,RG,IndianwolfBH123_25X,chr3,89397410,89498841,101432,1307,84.2,3527932,yes
4163,RG,IndianwolfBH123_25X,chr2,12865393,12966846,101454,543,92.2,3629386,yes
820,RG,IndianwolfBH123_25X,chr14,38583155,38684686,101532,888,93.6,3730918,yes
2438,RG,IndianwolfBH123_25X,chr20,28544039,28645597,101559,467,88.2,3832477,yes
993,RG,IndianwolfBH123_25X,chr15,35538901,35640516,101616,500,90.7,3934093,yes
5163,RG,IndianwolfBH123_25X,chr34,39001651,39103287,101637,1434,97,4035730,yes
6932,RG,IndianwolfBH123_25X,chr6,70233546,70335266,101721,832,92.6,4137451,yes
5003,RG,IndianwolfBH123_25X,chr33,20336865,20438586,101722,807,94.9,4239173,yes
4656,RG,IndianwolfBH123_25X,chr31,19715858,19817582,101725,976,95.1,4340898,yes
6385,RG,IndianwolfBH123_25X,chr5,5179242,5280967,101726,719,93.4,4442624,yes
5504,RG,IndianwolfBH123_25X,chr37,8377440,8479232,101793,750,95.3,4544417,yes
4992,RG,IndianwolfBH123_25X,chr33,18388640,18490435,101796,803,95,4646213,yes
2700,RG,IndianwolfBH123_25X,chr21,49164853,49266659,101807,1097,94.6,4748020,yes
3757,RG,IndianwolfBH123_25X,chr27,39042367,39144199,101833,694,92.4,4849853,yes
1236,RG,IndianwolfBH123_25X,chr16,42138026,42239868,101843,764,95,4951696,yes
5841,RG,IndianwolfBH123_25X,chr3,39766548,39868430,101883,529,83.9,5053579,yes
3806,RG,IndianwolfBH123_25X,chr28,17091640,17193533,101894,832,95.8,5155473,yes
6879,RG,IndianwolfBH123_25X,chr6,58107466,58209362,101897,751,95.9,5257370,yes
6995,RG,IndianwolfBH123_25X,chr7,6071099,6173051,101953,984,95.7,5359323,yes
7109,RG,IndianwolfBH123_25X,chr7,52195627,52297601,101975,522,93,5461298,yes
4092,RG,IndianwolfBH123_25X,chr29,36676392,36778500,102109,949,95.8,5563407,yes
1679,RG,IndianwolfBH123_25X,chr18,44738471,44840648,102178,1038,95.5,5665585,yes
7197,RG,IndianwolfBH123_25X,chr7,75741249,75843488,102240,676,94.1,5767825,yes
1329,RG,IndianwolfBH123_25X,chr16,57847008,57949282,102275,1346,96.7,5870100,yes
6579,RG,IndianwolfBH123_25X,chr5,57881777,57984107,102331,873,88,5972431,yes
4240,RG,IndianwolfBH123_25X,chr2,31520433,31622791,102359,949,95.5,6074790,yes
5432,RG,IndianwolfBH123_25X,chr36,25608761,25711135,102375,751,94.4,6177165,yes
1797,RG,IndianwolfBH123_25X,chr19,16744500,16846886,102387,392,86.1,6279552,yes
2249,RG,IndianwolfBH123_25X,chr1,96133997,96236425,102429,1325,97.1,6381981,yes
3443,RG,IndianwolfBH123_25X,chr26,1236707,1339153,102447,781,94.7,6484428,yes
971,RG,IndianwolfBH123_25X,chr15,29840338,29942869,102532,566,85.8,6586960,yes
279,RG,IndianwolfBH123_25X,chr11,26069233,26171769,102537,382,74.4,6689497,yes
2450,RG,IndianwolfBH123_25X,chr20,31252869,31355480,102612,845,93.5,6792109,yes
5618,RG,IndianwolfBH123_25X,chr38,4956534,5059234,102701,1068,96,6894810,yes
5838,RG,IndianwolfBH123_25X,chr3,38766717,38869497,102781,992,92.1,6997591,yes
6572,RG,IndianwolfBH123_25X,chr5,54727006,54829804,102799,518,88.2,7100390,yes
5751,RG,IndianwolfBH123_25X,chr3,11112031,11214888,102858,825,94.1,7203248,yes
7047,RG,IndianwolfBH123_25X,chr7,21166751,21269617,102867,919,90.5,7306115,yes
3256,RG,IndianwolfBH123_25X,chr25,10855582,10958554,102973,754,95.8,7409088,yes
6689,RG,IndianwolfBH123_25X,chr5,86842067,86945053,102987,1107,78.8,7512075,yes
6553,RG,IndianwolfBH123_25X,chr5,51011360,51114350,102991,863,96.4,7615066,yes
6709,RG,IndianwolfBH123_25X,chr6,8460465,8563484,103020,775,93.5,7718086,yes
4784,RG,IndianwolfBH123_25X,chr32,2440208,2543307,103100,915,94.3,7821186,yes
3376,RG,IndianwolfBH123_25X,chr25,38674534,38777647,103114,723,94.8,7924300,yes
4825,RG,IndianwolfBH123_25X,chr32,12956324,13059444,103121,675,93.8,8027421,yes
5443,RG,IndianwolfBH123_25X,chr36,27579116,27682257,103142,1119,96.5,8130563,yes
430,RG,IndianwolfBH123_25X,chr11,70911479,71014659,103181,1430,96.7,8233744,yes
2491,RG,IndianwolfBH123_25X,chr20,46403203,46506464,103262,939,94.6,8337006,yes
4245,RG,IndianwolfBH123_25X,chr2,32749039,32852502,103464,933,93,8440470,yes
2206,RG,IndianwolfBH123_25X,chr1,86274423,86377905,103483,820,95.1,8543953,yes
5438,RG,IndianwolfBH123_25X,chr36,26618491,26722018,103528,1032,93.5,8647481,yes
6583,RG,IndianwolfBH123_25X,chr5,58919838,59023372,103535,859,93.2,8751016,yes
4510,RG,IndianwolfBH123_25X,chr30,24265932,24369506,103575,794,95.5,8854591,yes
6237,RG,IndianwolfBH123_25X,chr4,60454055,60557629,103575,480,86.4,8958166,yes
2758,RG,IndianwolfBH123_25X,chr22,23648294,23751892,103599,742,91.5,9061765,yes
4635,RG,IndianwolfBH123_25X,chr31,15016745,15120471,103727,747,92.5,9165492,yes
6428,RG,IndianwolfBH123_25X,chr5,15303520,15407253,103734,553,94.5,9269226,yes
7100,RG,IndianwolfBH123_25X,chr7,48604269,48708025,103757,614,89.2,9372983,yes
2428,RG,IndianwolfBH123_25X,chr20,26536873,26640636,103764,760,95.3,9476747,yes
4553,RG,IndianwolfBH123_25X,chr30,35149107,35252884,103778,993,93.6,9580525,yes
1127,RG,IndianwolfBH123_25X,chr16,10134536,10238327,103792,540,91.2,9684317,yes
2828,RG,IndianwolfBH123_25X,chr22,42207918,42311721,103804,744,93.2,9788121,yes
1714,RG,IndianwolfBH123_25X,chr18,51746742,51850561,103820,985,91.2,9891941,yes
4864,RG,IndianwolfBH123_25X,chr32,23090902,23194753,103852,915,95.9,9995793,yes
4098,RG,IndianwolfBH123_25X,chr29,37289974,37393938,103965,943,95.1,10099758,yes
2408,RG,IndianwolfBH123_25X,chr20,22698747,22802800,104054,999,83.6,10203812,yes
4217,RG,IndianwolfBH123_25X,chr2,25972605,26076741,104137,782,79.5,10307949,yes
4350,RG,IndianwolfBH123_25X,chr2,64053682,64157818,104137,909,95.7,10412086,yes
5759,RG,IndianwolfBH123_25X,chr3,12693422,12797562,104141,484,89.6,10516227,yes
734,RG,IndianwolfBH123_25X,chr14,12323623,12427778,104156,817,93.6,10620383,yes
977,RG,IndianwolfBH123_25X,chr15,31120543,31224717,104175,755,91.7,10724558,yes
5139,RG,IndianwolfBH123_25X,chr34,30889272,30993456,104185,954,93.7,10828743,yes
2561,RG,IndianwolfBH123_25X,chr21,9184722,9288940,104219,648,94,10932962,yes
6516,RG,IndianwolfBH123_25X,chr5,38545854,38650193,104340,770,94.1,11037302,yes
278,RG,IndianwolfBH123_25X,chr11,25953405,26057770,104366,321,81.7,11141668,yes
6694,RG,IndianwolfBH123_25X,chr5,87475401,87579824,104424,1517,86.5,11246092,yes
3132,RG,IndianwolfBH123_25X,chr24,31896115,32000562,104448,803,93.2,11350540,yes
543,RG,IndianwolfBH123_25X,chr12,24086415,24190901,104487,597,92.7,11455027,yes
6453,RG,IndianwolfBH123_25X,chr5,19628703,19733194,104492,1064,94.3,11559519,yes
5537,RG,IndianwolfBH123_25X,chr37,18146310,18250816,104507,878,91.9,11664026,yes
2034,RG,IndianwolfBH123_25X,chr1,29942123,30046692,104570,761,95.1,11768596,yes
4070,RG,IndianwolfBH123_25X,chr29,31678374,31783012,104639,844,95.5,11873235,yes
3813,RG,IndianwolfBH123_25X,chr28,18672682,18777352,104671,920,95.1,11977906,yes
1735,RG,IndianwolfBH123_25X,chr18,54428880,54533572,104693,1137,93.6,12082599,yes
2019,RG,IndianwolfBH123_25X,chr1,25837286,25942013,104728,716,95,12187327,yes
1583,RG,IndianwolfBH123_25X,chr18,11664778,11769517,104740,782,87.5,12292067,yes
6054,RG,IndianwolfBH123_25X,chr3,91010859,91115684,104826,1217,96.7,12396893,yes
1048,RG,IndianwolfBH123_25X,chr15,54324022,54428865,104844,853,95,12501737,yes
4229,RG,IndianwolfBH123_25X,chr2,28499658,28604568,104911,829,94.3,12606648,yes
2446,RG,IndianwolfBH123_25X,chr20,30395078,30500118,105041,872,92.2,12711689,yes
1501,RG,IndianwolfBH123_25X,chr17,47436695,47541793,105099,1008,96.7,12816788,yes
7411,RG,IndianwolfBH123_25X,chr8,63390393,63495511,105119,1061,95.4,12921907,yes
1340,RG,IndianwolfBH123_25X,chr17,2619009,2724130,105122,542,78.9,13027029,yes
1037,RG,IndianwolfBH123_25X,chr15,49946349,50051537,105189,812,91,13132218,yes
4253,RG,IndianwolfBH123_25X,chr2,35281925,35387236,105312,418,86.9,13237530,yes
2040,RG,IndianwolfBH123_25X,chr1,31419153,31524543,105391,643,95.4,13342921,yes
4010,RG,IndianwolfBH123_25X,chr29,14918574,15024005,105432,545,88.6,13448353,yes
5367,RG,IndianwolfBH123_25X,chr36,13912578,14018014,105437,484,85.4,13553790,yes
1211,RG,IndianwolfBH123_25X,chr16,34083849,34189410,105562,738,95.4,13659352,yes
1145,RG,IndianwolfBH123_25X,chr16,15628647,15734304,105658,637,91.9,13765010,yes
1285,RG,IndianwolfBH123_25X,chr16,52297794,52403460,105667,1414,96.3,13870677,yes
3619,RG,IndianwolfBH123_25X,chr27,8306990,8412706,105717,451,91.7,13976394,yes
6330,RG,IndianwolfBH123_25X,chr4,82256876,82362625,105750,1097,96.2,14082144,yes
1592,RG,IndianwolfBH123_25X,chr18,12956945,13062744,105800,486,86.6,14187944,yes
2583,RG,IndianwolfBH123_25X,chr21,15195560,15301373,105814,854,94.9,14293758,yes
6587,RG,IndianwolfBH123_25X,chr5,59353577,59459392,105816,819,95,14399574,yes
836,RG,IndianwolfBH123_25X,chr14,43253412,43359234,105823,526,91.7,14505397,yes
3845,RG,IndianwolfBH123_25X,chr28,25637559,25743394,105836,746,95.8,14611233,yes
5434,RG,IndianwolfBH123_25X,chr36,25956520,26062361,105842,482,92.1,14717075,yes
2691,RG,IndianwolfBH123_25X,chr21,47735282,47841172,105891,1600,97,14822966,yes
3259,RG,IndianwolfBH123_25X,chr25,11966063,12072017,105955,441,82.5,14928921,yes
4394,RG,IndianwolfBH123_25X,chr2,75552117,75658092,105976,789,93.5,15034897,yes
5914,RG,IndianwolfBH123_25X,chr3,59982255,60088292,106038,1354,96.9,15140935,yes
61,RG,IndianwolfBH123_25X,chr10,27643818,27749888,106071,805,96,15247006,yes
3603,RG,IndianwolfBH123_25X,chr27,2999284,3105396,106113,1009,95.8,15353119,yes
3758,RG,IndianwolfBH123_25X,chr27,39219027,39325167,106141,777,92.5,15459260,yes
5007,RG,IndianwolfBH123_25X,chr33,21075269,21181585,106317,1010,88.6,15565577,yes
3478,RG,IndianwolfBH123_25X,chr26,10925627,11032031,106405,1052,95.1,15671982,yes
5764,RG,IndianwolfBH123_25X,chr3,13425464,13531920,106457,482,92.1,15778439,yes
6020,RG,IndianwolfBH123_25X,chr3,87678395,87784883,106489,990,94.3,15884928,yes
2203,RG,IndianwolfBH123_25X,chr1,85585113,85691645,106533,913,95.2,15991461,yes
7658,RG,IndianwolfBH123_25X,chr9,60958353,61064984,106632,642,93.5,16098093,yes
2683,RG,IndianwolfBH123_25X,chr21,43412819,43519478,106660,1096,83,16204753,yes
5599,RG,IndianwolfBH123_25X,chr38,1540969,1647631,106663,768,77.4,16311416,yes
783,RG,IndianwolfBH123_25X,chr14,28769895,28876619,106725,868,94.3,16418141,yes
6164,RG,IndianwolfBH123_25X,chr4,38587780,38694519,106740,356,90.1,16524881,yes
2268,RG,IndianwolfBH123_25X,chr1,105137913,105244658,106746,672,89.5,16631627,yes
3317,RG,IndianwolfBH123_25X,chr25,26085637,26192525,106889,827,91.2,16738516,yes
1336,RG,IndianwolfBH123_25X,chr16,58913943,59020877,106935,1475,96.8,16845451,yes
3055,RG,IndianwolfBH123_25X,chr24,11360414,11467362,106949,636,92,16952400,yes
2969,RG,IndianwolfBH123_25X,chr23,16215201,16322231,107031,714,95,17059431,yes
5287,RG,IndianwolfBH123_25X,chr35,23228802,23335854,107053,1084,95.7,17166484,yes
4049,RG,IndianwolfBH123_25X,chr29,28592132,28699239,107108,863,86.2,17273592,yes
6602,RG,IndianwolfBH123_25X,chr5,64359715,64466838,107124,981,95.1,17380716,yes
5198,RG,IndianwolfBH123_25X,chr35,3165033,3272169,107137,1005,96.3,17487853,yes
6786,RG,IndianwolfBH123_25X,chr6,28625349,28732499,107151,535,90.7,17595004,yes
6026,RG,IndianwolfBH123_25X,chr3,88321848,88429015,107168,1015,95.4,17702172,yes
3073,RG,IndianwolfBH123_25X,chr24,14767824,14875018,107195,561,93.8,17809367,yes
2968,RG,IndianwolfBH123_25X,chr23,16033450,16140684,107235,723,93.5,17916602,yes
5282,RG,IndianwolfBH123_25X,chr35,22448745,22555985,107241,892,94.5,18023843,yes
2650,RG,IndianwolfBH123_25X,chr21,34344590,34451849,107260,1155,96.4,18131103,yes
7633,RG,IndianwolfBH123_25X,chr9,55926453,56033729,107277,583,91.9,18238380,yes
5039,RG,IndianwolfBH123_25X,chr33,29226412,29333691,107280,1080,78.4,18345660,yes
2916,RG,IndianwolfBH123_25X,chr22,59836704,59944024,107321,950,95.7,18452981,yes
6032,RG,IndianwolfBH123_25X,chr3,88969599,89076928,107330,1156,94.7,18560311,yes
5958,RG,IndianwolfBH123_25X,chr3,74190407,74297750,107344,1032,94.5,18667655,yes
4719,RG,IndianwolfBH123_25X,chr31,34609089,34716455,107367,1098,96.1,18775022,yes
6161,RG,IndianwolfBH123_25X,chr4,36784716,36892084,107369,272,87.7,18882391,yes
1492,RG,IndianwolfBH123_25X,chr17,46090206,46197748,107543,779,94.5,18989934,yes
3488,RG,IndianwolfBH123_25X,chr26,13173513,13281056,107544,1047,94.9,19097478,yes
6772,RG,IndianwolfBH123_25X,chr6,26200552,26308099,107548,437,92.7,19205026,yes
7214,RG,IndianwolfBH123_25X,chr7,78839360,78946969,107610,1037,88.6,19312636,yes
3538,RG,IndianwolfBH123_25X,chr26,23802528,23910218,107691,945,94.4,19420327,yes
739,RG,IndianwolfBH123_25X,chr14,13622364,13730072,107709,488,92.3,19528036,yes
480,RG,IndianwolfBH123_25X,chr12,8507136,8614872,107737,732,82.4,19635773,yes
2518,RG,IndianwolfBH123_25X,chr20,54103531,54211267,107737,788,84.6,19743510,yes
4573,RG,IndianwolfBH123_25X,chr30,37840122,37947878,107757,1125,96.7,19851267,yes
2587,RG,IndianwolfBH123_25X,chr21,17347360,17455128,107769,811,92.9,19959036,yes
7218,RG,IndianwolfBH123_25X,chr7,79828086,79935885,107800,1218,95.3,20066836,yes
7096,RG,IndianwolfBH123_25X,chr7,46263896,46371770,107875,712,95.3,20174711,yes
3450,RG,IndianwolfBH123_25X,chr26,2982810,3090699,107890,984,84.1,20282601,yes
7084,RG,IndianwolfBH123_25X,chr7,41422971,41530898,107928,356,88.1,20390529,yes
6096,RG,IndianwolfBH123_25X,chr4,16549094,16657059,107966,1017,96,20498495,yes
3127,RG,IndianwolfBH123_25X,chr24,31025838,31133847,108010,913,95.6,20606505,yes
3308,RG,IndianwolfBH123_25X,chr25,24289126,24397143,108018,827,82.3,20714523,yes
1654,RG,IndianwolfBH123_25X,chr18,38069441,38177483,108043,773,95.1,20822566,yes
976,RG,IndianwolfBH123_25X,chr15,30980525,31088740,108216,715,94.2,20930782,yes
3901,RG,IndianwolfBH123_25X,chr28,34560123,34668341,108219,1009,96.1,21039001,yes
4757,RG,IndianwolfBH123_25X,chr31,38419061,38527336,108276,1120,97.1,21147277,yes
2507,RG,IndianwolfBH123_25X,chr20,51852981,51961429,108449,767,94.1,21255726,yes
4288,RG,IndianwolfBH123_25X,chr2,45304279,45412728,108450,789,94.6,21364176,yes
3973,RG,IndianwolfBH123_25X,chr29,6307150,6415618,108469,805,93,21472645,yes
6806,RG,IndianwolfBH123_25X,chr6,34917686,35026232,108547,707,94.3,21581192,yes
2449,RG,IndianwolfBH123_25X,chr20,31101884,31210433,108550,1034,95.8,21689742,yes
6502,RG,IndianwolfBH123_25X,chr5,35164897,35273461,108565,779,92.2,21798307,yes
3168,RG,IndianwolfBH123_25X,chr24,38900390,39009046,108657,754,93.6,21906964,yes
3630,RG,IndianwolfBH123_25X,chr27,10073402,10182081,108680,880,92.3,22015644,yes
4936,RG,IndianwolfBH123_25X,chr33,5639371,5748116,108746,852,92.5,22124390,yes
2026,RG,IndianwolfBH123_25X,chr1,28086205,28194956,108752,396,75.3,22233142,yes
867,RG,IndianwolfBH123_25X,chr14,54049840,54158624,108785,451,76.8,22341927,yes
6789,RG,IndianwolfBH123_25X,chr6,31075621,31184413,108793,659,87.1,22450720,yes
789,RG,IndianwolfBH123_25X,chr14,31370597,31479404,108808,845,94.9,22559528,yes
1587,RG,IndianwolfBH123_25X,chr18,12184748,12293613,108866,883,96,22668394,yes
7426,RG,IndianwolfBH123_25X,chr8,65185157,65294157,109001,651,92.8,22777395,yes
5359,RG,IndianwolfBH123_25X,chr36,12112927,12221941,109015,749,93.3,22886410,yes
2225,RG,IndianwolfBH123_25X,chr1,89876268,89985345,109078,567,93.9,22995488,yes
4031,RG,IndianwolfBH123_25X,chr29,24028456,24137587,109132,867,95.7,23104620,yes
95,RG,IndianwolfBH123_25X,chr10,36982427,37091608,109182,955,95.8,23213802,yes
5127,RG,IndianwolfBH123_25X,chr34,29250850,29360184,109335,1203,95.2,23323137,yes
249,RG,IndianwolfBH123_25X,chr11,17315401,17424739,109339,549,91.4,23432476,yes
3276,RG,IndianwolfBH123_25X,chr25,16212091,16321474,109384,621,77.2,23541860,yes
2371,RG,IndianwolfBH123_25X,chr20,13243720,13353124,109405,642,88.7,23651265,yes
3156,RG,IndianwolfBH123_25X,chr24,37171216,37280627,109412,712,94,23760677,yes
6636,RG,IndianwolfBH123_25X,chr5,72254796,72364349,109554,711,90.3,23870231,yes
5704,RG,IndianwolfBH123_25X,chr38,20495796,20605353,109558,1326,94.7,23979789,yes
3902,RG,IndianwolfBH123_25X,chr28,34706668,34816248,109581,1042,94.8,24089370,yes
5392,RG,IndianwolfBH123_25X,chr36,19009222,19118808,109587,441,92.7,24198957,yes
2500,RG,IndianwolfBH123_25X,chr20,48209857,48319498,109642,759,90.7,24308599,yes
6997,RG,IndianwolfBH123_25X,chr7,6494633,6604362,109730,684,93.3,24418329,yes
217,RG,IndianwolfBH123_25X,chr11,6804362,6914110,109749,826,93.8,24528078,yes
4698,RG,IndianwolfBH123_25X,chr31,29945578,30055343,109766,971,94.4,24637844,yes
3862,RG,IndianwolfBH123_25X,chr28,29282936,29392712,109777,681,94.5,24747621,yes
846,RG,IndianwolfBH123_25X,chr14,45874655,45984485,109831,799,89,24857452,yes
1114,RG,IndianwolfBH123_25X,chr16,1227887,1337764,109878,434,85.5,24967330,yes
5926,RG,IndianwolfBH123_25X,chr3,64818937,64928814,109878,829,83.3,25077208,yes
2280,RG,IndianwolfBH123_25X,chr1,112587635,112697562,109928,456,91.3,25187136,yes
5774,RG,IndianwolfBH123_25X,chr3,16197976,16307987,110012,539,93.8,25297148,yes
1395,RG,IndianwolfBH123_25X,chr17,24010712,24120750,110039,791,93,25407187,yes
1021,RG,IndianwolfBH123_25X,chr15,45347429,45457478,110050,1036,96.1,25517237,yes
1814,RG,IndianwolfBH123_25X,chr19,22777813,22887896,110084,738,83.4,25627321,yes
7052,RG,IndianwolfBH123_25X,chr7,22432286,22542466,110181,827,94.8,25737502,yes
5093,RG,IndianwolfBH123_25X,chr34,20852623,20962807,110185,515,81.7,25847687,yes
1049,RG,IndianwolfBH123_25X,chr15,54452307,54562593,110287,1094,96.6,25957974,yes
6660,RG,IndianwolfBH123_25X,chr5,79860849,79971150,110302,551,79.8,26068276,yes
6387,RG,IndianwolfBH123_25X,chr5,5909153,6019484,110332,600,92.2,26178608,yes
990,RG,IndianwolfBH123_25X,chr15,34611408,34721836,110429,673,93.6,26289037,yes
427,RG,IndianwolfBH123_25X,chr11,70621705,70732183,110479,1309,96.7,26399516,yes
2145,RG,IndianwolfBH123_25X,chr1,64754143,64864623,110481,553,93.2,26509997,yes
5270,RG,IndianwolfBH123_25X,chr35,20553872,20664358,110487,864,93.4,26620484,yes
2027,RG,IndianwolfBH123_25X,chr1,28260504,28371069,110566,507,88.3,26731050,yes
4708,RG,IndianwolfBH123_25X,chr31,31971664,32082234,110571,904,95.5,26841621,yes
5756,RG,IndianwolfBH123_25X,chr3,12015416,12125991,110576,727,87.6,26952197,yes
5600,RG,IndianwolfBH123_25X,chr38,1732644,1843248,110605,846,95,27062802,yes
583,RG,IndianwolfBH123_25X,chr12,39203743,39314362,110620,793,95.6,27173422,yes
7464,RG,IndianwolfBH123_25X,chr8,72927042,73037746,110705,2077,95.4,27284127,yes
2404,RG,IndianwolfBH123_25X,chr20,21549308,21660124,110817,587,93.6,27394944,yes
2123,RG,IndianwolfBH123_25X,chr1,55107541,55218368,110828,1345,96.1,27505772,yes
6280,RG,IndianwolfBH123_25X,chr4,70462648,70573541,110894,747,94.8,27616666,yes
5074,RG,IndianwolfBH123_25X,chr34,14869839,14980798,110960,680,80.9,27727626,yes
4813,RG,IndianwolfBH123_25X,chr32,9389025,9500034,111010,979,96.3,27838636,yes
3402,RG,IndianwolfBH123_25X,chr25,44126422,44237446,111025,851,95.5,27949661,yes
3850,RG,IndianwolfBH123_25X,chr28,27074188,27185241,111054,1046,94.3,28060715,yes
5761,RG,IndianwolfBH123_25X,chr3,12981334,13092401,111068,871,95.5,28171783,yes
6484,RG,IndianwolfBH123_25X,chr5,28119650,28230726,111077,1119,66.3,28282860,yes
1051,RG,IndianwolfBH123_25X,chr15,54678855,54789936,111082,1022,90.7,28393942,yes
1274,RG,IndianwolfBH123_25X,chr16,49875038,49986159,111122,849,95,28505064,yes
905,RG,IndianwolfBH123_25X,chr14,60276476,60387830,111355,878,94.5,28616419,yes
1879,RG,IndianwolfBH123_25X,chr19,35345316,35456681,111366,1143,95.4,28727785,yes
5132,RG,IndianwolfBH123_25X,chr34,29858816,29970261,111446,1253,96,28839231,yes
780,RG,IndianwolfBH123_25X,chr14,28287049,28398535,111487,839,94.3,28950718,yes
6104,RG,IndianwolfBH123_25X,chr4,19620298,19731809,111512,630,77.8,29062230,yes
6234,RG,IndianwolfBH123_25X,chr4,59434274,59545818,111545,646,84.6,29173775,yes
766,RG,IndianwolfBH123_25X,chr14,24875612,24987166,111555,967,96.6,29285330,yes
3226,RG,IndianwolfBH123_25X,chr24,46398167,46509722,111556,2002,97.4,29396886,yes
1942,RG,IndianwolfBH123_25X,chr1,8032855,8144429,111575,556,92.7,29508461,yes
2173,RG,IndianwolfBH123_25X,chr1,75386680,75498287,111608,584,94.6,29620069,yes
6517,RG,IndianwolfBH123_25X,chr5,38710933,38822550,111618,779,94.5,29731687,yes
6081,RG,IndianwolfBH123_25X,chr4,12555505,12667136,111632,772,94.5,29843319,yes
4383,RG,IndianwolfBH123_25X,chr2,72801888,72913651,111764,475,93.5,29955083,yes
6101,RG,IndianwolfBH123_25X,chr4,18379528,18491349,111822,575,76.8,30066905,yes
3683,RG,IndianwolfBH123_25X,chr27,21397376,21509218,111843,717,95.4,30178748,yes
6151,RG,IndianwolfBH123_25X,chr4,34187756,34299711,111956,627,94.9,30290704,yes
7174,RG,IndianwolfBH123_25X,chr7,70720175,70832196,112022,967,96.1,30402726,yes
5148,RG,IndianwolfBH123_25X,chr34,32508669,32620695,112027,765,94.5,30514753,yes
4072,RG,IndianwolfBH123_25X,chr29,32015633,32127690,112058,1263,94.9,30626811,yes
3192,RG,IndianwolfBH123_25X,chr24,42231597,42343658,112062,1192,96.7,30738873,yes
7563,RG,IndianwolfBH123_25X,chr9,32632827,32744945,112119,440,81,30850992,yes
1887,RG,IndianwolfBH123_25X,chr19,36687902,36800059,112158,1019,93.9,30963150,yes
5862,RG,IndianwolfBH123_25X,chr3,44965309,45077500,112192,688,84.5,31075342,yes
1264,RG,IndianwolfBH123_25X,chr16,47421236,47533435,112200,990,95.8,31187542,yes
800,RG,IndianwolfBH123_25X,chr14,33827116,33939336,112221,669,90.7,31299763,yes
3674,RG,IndianwolfBH123_25X,chr27,18405119,18517517,112399,808,94.4,31412162,yes
