Table S1.Sample list and associated metadata for newly sequenced and previously published canid genomes included in this study  ,,,,,,,,,,,,,,,,,,,,,,,,,,,
Species Name,Species,Country of Origin,Location,Population of gray wolf,ID in associated study,Lat,Long,Depth,BioProject,BioSample,Study,Heterozygosity,F (inbreeding coefficient) ,Twisst pop group for central and east Asia,Twisst pop group for southwestern Asia,genetic load,fsc,,,,,,,,,,
Gray wolf,Canis lupus,Ukraine,Sumy,Europe,MW707A,49.14606546,31.53535847,7.77143,PRJEB85747,newly sequenced,this study,0.001410766,0.175683 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Bosnia and Herzegovina,Nikole Pasica,Europe,MW703A,43.7831,19.2918,6.95849,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.00150971,0.112934 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Bulgaria,Sofia region,Europe,MW706A,42.6977,23.32186,8.24271,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001577909,0.098585 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Croatia,Zaostrog,Europe,MW1126,43.16,17.32,6.01776,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001413418,0.110736 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Slovakia,"Pod Kykulu, Povina",Europe,"MW336, CL719",49.3053,18.8661,5.756,PRJEB85747,newly sequenced,this study,0.001345383,0.154788 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Greece,Fthiotida,Europe,MW1135,40.1,21.42,5.04563,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001465021,0.084490 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Slovakia,"Vitanova, Orava",Europe,MW339,49.21531,19.44052,5.93246,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001437785,0.101855 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Germany,Hessen,Europe,MW055,50.652051,9.162438,5.80457,PRJEB57290,No public data on NCBI ,Ciucani et al. 2023,0.001390063,0.141180 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Bryansk, Russia",Europe,GW3,53.26434282,34.35244883,10.1864,PRJNA192935,SAMN01974488,Wang et al. 2013,0.001667945,0.069305 ,Europe,Europe,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Kalamaili Nature Reserve (wild born), Xinjiang, China",Central Asia,XJ24; BGI-01505070007,43.3,93.5,21.6681,PRJNA448733,SAMN03653000,Zhang et al. 2014,0.001897196,0.046353 ,,,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,China,"Duzhishan Garden (wild born - not from Kashgar), Xinjiang, China",Central Asia,XJ30; BGI-01505070006,46.2,83.9,24.2536,PRJNA448733,SAMN03653002,Zhang et al. 2014,0.001946726,0.029331 ,,,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Altai, Russia",Central Asia,GW1,52.33253089,87.90969994,9.97411,PRJNA448733,SAMN01974486,Wang et al. 2013,0.001761448,0.050347 ,,,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Kyrgyzstan,near Nura,Central Asia,"LUP008521, YP160822-032, CLUPKG000001",48.88602669,62.30253855,18.7131,PRJNA648123,SAMN29845331,Meadows et al. 2023,0.00174831,0.098829 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Kazakhstan,Betpak Dala,Central Asia,"LUP008522, YP160822-033, YP160822-033",46.03419599,70.20021454,19.7587,PRJNA648123,SAMN29845332,Meadows et al. 2023,0.001560097,0.198238 ,,,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Afghanistan,"Pashki,  Nuristan. Museum specimen from 1949 from the Natural History Museum of Denmark (ID 4499)",Central Asia,"AW012, Museum ID 4499 from the Natural History Museum of Denmark. From 1949",35.21016332,70.68726168,1.38555,PRJEB85747,newly sequenced,newly sequenced,,,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Altai republicKabanucha,Central Asia,"LUP008512,ypi584,CLUPRU000001",50.57490455,87.26497553,19.2632,PRJNA648123,SAMN29845333,Meadows et al. 2023,0.001972519,0.019554 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Altai republicKabanucha,Central Asia,"LUP008513,ypi585,CLUPRU000002",50.57490455,87.26497553,18.2436,PRJNA648123,SAMN29845334,Meadows et al. 2023,0.001912311,0.046572 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Altai republicKabanucha,Central Asia,"LUP008514,ypi596, CLUPRU000003",50.57490455,87.26497553,18.7548,PRJNA648123,SAMN29845335,Meadows et al. 2023,0.001825264,0.094398 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Sakha-Yakutia republic North part,Central Asia,"LUP008515,ypi639,CLUPRU000004",70.26050574,133.9829338,19.95,PRJNA648123,SAMN29845336,Meadows et al. 2023,0.001898602,0.067938 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,Sochi,Central Asia,"YP160822-028,LUP008520,CLUPRU000018",43.62207498,39.71414001,17.3669,PRJNA648123,SAMN29845347,Meadows et al. 2023,0.001892489,0.000000 ,Russia,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,Atobek conces,Central Asia,"LUP003505,YPi3124,CLUPTJ000001",38.76040507,71.64429164,15.6476,PRJNA648123,SAMN29845350,Meadows et al. 2023,0.001833623,0.020928 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,Atobek conces,Central Asia,"LUP003506,YPi3125,CLUPTJ000002",38.76040507,71.64429164,20.9927,PRJNA648123,SAMN29845351,Meadows et al. 2023,0.001875587,0.037934 ,CentralAsiaMountains,,YES,,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,ridge near pass,Central Asia,"LUP003513,YPi3130,CLUPTJ000003",38.76040507,71.64429164,22.1851,PRJNA648123,SAMN29845352,Meadows et al. 2023,0.001879887,0.054212 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,Murgab Atobek conces,Central Asia,"LUP008523,YP160822-034,CLUPTJ000004",38.18732144,73.99845525,20.6127,PRJNA648123,SAMN29845353,Meadows et al. 2023,0.001798811,0.080435 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,Murgab Atobek conces,Central Asia,"LUP008524,YP160822-035,CLUPTJ000005",38.18732144,73.99845525,20.2296,PRJNA648123,SAMN29845354,Meadows et al. 2023,0.001939408,0.020339 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,Murgab Atobek conces,Central Asia,"LUP008525,YP160822-036,CLUPTJ000006",38.18732144,73.99845525,22.7399,PRJNA648123,SAMN29845355,Meadows et al. 2023,0.00166694,0.150453 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Tajikistan,Murgab Atobek conces,Central Asia,"LUP008526,YP160822-037,CLUPTJ000007",38.18732144,73.99845525,17.0601,PRJNA648123,SAMN29845356,Meadows et al. 2023,0.001946471,0.000000 ,CentralAsiaMountains,,,,,,,,,,,,,
Gray wolf,Canis lupus,Kazakhstan,General Kazakhstan (no specific coordinates),Central Asia,"750114, MW1076",48.71935718,69.4279307,6.88047,PRJEB85747,newly sequenced,newly sequenced,0.001618864,0.040933 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Kazakhstan,General Kazakhstan (no specific coordinates),Central Asia,"750119, MW1079",48.71935718,69.4279307,7.03306,PRJEB85747,newly sequenced,newly sequenced,0.001607991,0.037598 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,MW486,Central Asia,750125 33 (MW1081),53.32,48.06,6.39173,PRJEB85747,newly sequenced,newly sequenced,0.001601662,0.055759 ,Russia,CentralAsia,,,,,,,,,,,,
Gray wolf,Canis lupus,Kazakhstan,General Kazakhstan (no specific coordinates),Central Asia,"750117, MW1078",48.71935718,69.4279307,7.13607,PRJEB85747,newly sequenced,newly sequenced,0.001620097,0.020659 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Shatrovsky District, Kurgan Oblast",Central Asia,750282 (MW1082),56.5,64.59,7.27182,PRJEB85747,newly sequenced,newly sequenced,0.001600416,0.041164 ,Russia,CentralAsia,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Irbitskiy Rayon, Sverdlovsk Oblast",Central Asia,750016 (MW1070),56.43,63.47,7.20865,PRJEB85747,newly sequenced,newly sequenced,0.001594904,0.039600 ,Russia,CentralAsia,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Xinjiang, Bayanbulak Grassland",Central Asia,"ypi1002,LUP000146, CLUPCN000005",42.90213297,86.07941029,20.0393,PRJNA648123,SAMN29845316,Meadows et al. 2023,0.001925429,0.043278 ,,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,China,"Xinjiang, Bayanbulak Grassland",Central Asia,"YPi1004,LUP000147, CLUPCN000006",42.90213297,86.07941029,19.9774,PRJNA648123,SAMN29845317,Meadows et al. 2023,0.001944173,0.032372 ,,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,China,"Xinjiang, Bayanbulak Grassland",Central Asia,"YPi1007, LUP000148, CLUPCN000007",42.90213297,86.07941029,20.0187,PRJNA648123,SAMN29845318,Meadows et al. 2023,0.001962094,0.025992 ,,CentralAsia,YES,YES,,,,,,,,,,
Gray wolf,Canis lupus,China,"Xinjiang, Tacheng",Central Asia,"ypi989,LUP000149, CLUPCN000008",42.90213297,86.07941029,18.8239,PRJNA648123,SAMN29845319,Meadows et al. 2023,0.002024491,0.000000 ,,CentralAsia,,YES,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Mezen, Arkhangelsk Oblast",Central Asia,MW486,65.86165,44.22931,5.92702,PRJEB57591,SAMEA113937681,Hernandez-Alonso et al. 2023,0.001247325,0.214798 ,Russia,CentralAsia,,,,,,,,,,,,
Gray wolf,Canis lupus,China,Heilongjiang Province,East Asia,"YP9805, LUP000078",47.25093945,128.3917478,18.4846,PRJNA648123,SAMN29845312,Meadows et al. 2023,0.001910464,0.058999 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Mongolia,"General Mongolia (no coordinates), Mongolia2 (Figure S2)",East Asia,MW574,46.38686805,102.7913401,5.89266,PRJEB57591,SAMEA113937685,Hernandez-Alonso et al. 2023,0.001422663,0.104095 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,Inner Mongolia,East Asia,GW4,43.50679116,114.5133632,8.17829,PRJNA448733,SAMN03168400,Wang et al. 2013,0.001485017,0.067541 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,Inner Mongolia,East Asia,LUPZCHN00002,43.50679116,114.5133632,8.61956,PRJNA448733,SAMN03168393,Wang et al. 2016,0.001648982,0.069968 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,Mongolia,"Zavkhan Aimag, Tosontsengel Sourn, Mongolia3 (Figure S2)",East Asia,MW588,48.73024,98.23747,5.61865,PRJEB57591,SAMEA113937686,Hernandez-Alonso et al. 2023,0.001539224,0.033101 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,Mongolia,"Dornogovi Aimag, Zamiin-Uud, Mongolia1 (Figure S2)",East Asia,MW561,43.71147,111.91448,5.61685,PRJEB57591,SAMEA113937687,Hernandez-Alonso et al. 2023,0.001519376,0.036705 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Aldanskiy, Ulus, Sakha Republic, Sakha_Russia2 (Figure S2)",East Asia,MW524,57.443441,127.41704,5.90115,PRJEB57591,SAMEA113937682,Hernandez-Alonso et al. 2023,0.001496612,0.068914 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Anabarsky District, Sakha Republic, Sakha_Russia1 (Figure S2)",East Asia,MW538,72.384805,114.594015,5.99054,PRJEB57591,SAMEA113937684,Hernandez-Alonso et al. 2023,0.00149134,0.087120 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Haerbing Zoo, Inner Mongolia (wild born), China",East Asia,BGI-01505070005,64.789251,127.814014,20.0418,PRJNA448733,SAMN03652999,Zhang et al. 2014,0.001793374,0.109988 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Haerbing Zoo, Inner Mongolia (wild born), China",East Asia,BGI-01505070004,64.789251,127.814014,23.031,PRJNA448733,SAMN03653004,Zhang et al. 2014,0.001665451,0.189321 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,Russia,"Chukotka, Russia",East Asia,GW2,66.75292172,173.4644747,8.07951,PRJNA448733,SAMN01974487,Wang et al. 2013,0.001541327,0.169917 ,,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Lioning, China",East Asia,LUPWCHN00003,41.52920016,122.2836808,13.2761,PRJNA448733,SAMN03168394,Wang et al. 2016,0.001781083,0.070457 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Shanxi, China ",East Asia,LUPZCHN00005,36.08332655,111.4968733,7.39264,PRJNA448733,SAMN03168395,Wang et al. 2016,0.001374632,0.133184 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,China,"Shanxi, China ",East Asia,LUPZCHN00006,36.08332655,111.4968733,12.3554,PRJNA448733,SAMN03168396,Wang et al. 2016,0.001682221,0.129986 ,EastAsia,,,,,,,,,,,,,
Gray wolf,Canis lupus,Canada,"10km south of Gunnar Island, Ellesmere Island, Canada",North America,Ellesmere1,,,12.136,PRJNA494815,SAMN10180431,Gopalakrishnan et al. 2018,0.000987086,,,,,,,,,,,,,,,
Gray wolf,Canis lupus,USA,"Kobuk River, Alaska",North America,Alaska1; ARF07,,,6.6003,PRJNA496590,SAMN10246085,Sinding et al. 2018,0.001537604,,,,,,,,,,,,,,,
Gray wolf,Canis lupus,USA,,North America,MexicanWolf,,,24.2713,PRJNA448733,SAMN02921314,vonHoldt et al. 2016,0.000613557,,,,YES,,,,,,,,,,,
Andean fox,Lycalopex culpaeus,,,,Lcu2,,,10.73,PRJNA448733,SAMN02487034,Auton et al. 2013,,,,,,,,,,,,,,,,
Dhole,Cuon alpinus,,"Berlin Zoo, Germany",,00-0696-47CD_334/11,,,17.17,PRJNA494815 ,SAMN10180424,Gopalakrishnan et al. 2018,,,,,,,,,,,,,,,,
Ethiopian wolf,Canis simensis,Ethiopia,Ethiopia,,EthiopianWolf_Ethiopia,,,3.15,PRJNA494815 ,SAMN10180425,Gopalakrishnan et al. 2018,,,,,,,,,,,,,,,,
Golden Jackal,Canis aureus,Syria,,,B2,,,17.32,PRJNA494815 ,SAMN10180427,"Gopalakrishnan et al., 2018",,,,,,,,,,,,,,,,
African wolf,Canis lupaster,Kenya,Kenya,,Kenya_GoldenJackal,,,23.13,PRJNA494719 ,SAMN10174941,"Koepfli et al., 2015",,,,,,,,,,,,,,,,
African wolf,Canis lupaster,Morocco,"Issoulrhene valley, Zouiat Cheikh",,,,,9.33,PRJEB39527,SAMEA7090312,Sarabia et al. 2021,,,,Africanwolf,,,,,,,,,,,,
African wolf,Canis lupaster,Algeria,,,"CRR010907, SAMC009005",,,6.93,PRJCA000335 ,SAMC009005,Liu et al. 2018,,,,Africanwolf,,,,,,,,,,,,
African wolf,Canis lupaster,Ethiopia,Ethiopia,,AfricanGoldenWolf_Ethiopia,,,16.35,PRJNA494815,SAMN10199001 ,Gopalakrishnan et al. 2018,,,,Africanwolf,,,,,,,,,,,,
